product_id,slug,lifecycle_status,review_status,name,brand,category_id,size_label,size_extracted,format_label,price_cents,tax_rate,currency,stock_quantity,maximum_units_per_order,available_online,requires_special_transport,image_path,ean,source_id,source_page
pdf-dermocosmetica-006,leche-limpiadora-cara-y-ojos,draft,pending_commercial_validation,Leche Limpiadora Cara y Ojos,Marca propia Amapola,cat-facial,,400 ml en,,,21,EUR,,6,false,false,/images/catalog/leche-limpiadora-cara-y-ojos.webp,,src-dermocosmetica,6
pdf-dermocosmetica-007,leche-limpiadora-equilibrante,draft,pending_commercial_validation,Leche Limpiadora Equilibrante,Marca propia Amapola,cat-facial,,200 ml en,,,21,EUR,,6,false,false,/images/catalog/leche-limpiadora-equilibrante.webp,,src-dermocosmetica,7
pdf-dermocosmetica-008,tonico-gel-equilibrante,draft,pending_commercial_validation,Tónico Gel Equilibrante,Marca propia Amapola,cat-facial,,200 ml en,,,21,EUR,,6,false,false,/images/catalog/tonico-gel-equilibrante.webp,,src-dermocosmetica,8
pdf-dermocosmetica-009,agua-micelar,draft,pending_commercial_validation,Agua Micelar,Marca propia Amapola,cat-facial,,400 ml / 100 ml,,,21,EUR,,6,false,false,/images/catalog/agua-micelar.webp,,src-dermocosmetica,9
pdf-dermocosmetica-010,exfoliante-enzimatico-facial,draft,pending_commercial_validation,Exfoliante Enzimático Facial,Marca propia Amapola,cat-facial,,75 ml en plástico,,,21,EUR,,6,false,false,/images/catalog/exfoliante-enzimatico-facial.webp,,src-dermocosmetica,10
pdf-dermocosmetica-012,dermolimpiador-bioma-confort,draft,pending_commercial_validation,Dermolimpiador Bioma Confort,Marca propia Amapola,cat-facial,,200 ml,,,21,EUR,,6,false,false,/images/catalog/dermolimpiador-bioma-confort.webp,,src-dermocosmetica,12
pdf-dermocosmetica-014,tonico-bioma-confort,draft,pending_commercial_validation,Tónico Bioma Confort,Marca propia Amapola,cat-facial,,100 ml de plástico,,,21,EUR,,6,false,false,/images/catalog/tonico-bioma-confort.webp,,src-dermocosmetica,14
pdf-dermocosmetica-016,serum-bioma-confort,draft,pending_commercial_validation,Sérum Bioma Confort,Marca propia Amapola,cat-facial,,airless de 50ml,,,21,EUR,,6,false,false,/images/catalog/serum-bioma-confort.webp,,src-dermocosmetica,16
pdf-dermocosmetica-017,fluido-bioma-confort,draft,pending_commercial_validation,Fluido Bioma Confort,Marca propia Amapola,cat-facial,,airless de 50 ml,,,21,EUR,,6,false,false,/images/catalog/fluido-bioma-confort.webp,,src-dermocosmetica,17
pdf-dermocosmetica-019,crema-anti-rojeces-bioma-confort,draft,pending_commercial_validation,Crema Anti-rojeces Bioma Confort,Marca propia Amapola,cat-facial,,50 ml,,,21,EUR,,6,false,false,/images/catalog/crema-anti-rojeces-bioma-confort.webp,,src-dermocosmetica,19
pdf-dermocosmetica-021,gel-dermolimpiador-bioma-control,draft,pending_commercial_validation,Gel Dermolimpiador Bioma Control,Marca propia Amapola,cat-facial,,400ml en,,,21,EUR,,6,false,false,/images/catalog/gel-dermolimpiador-bioma-control.webp,,src-dermocosmetica,21
